customer_id,customer_key,full_name,email,region_name,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_numeric,segment,last_purchase_date,first_purchase_date,avg_order_value
14,C00014,Customer_14,user14@email.com,South,626,12,5684.1,4,2,4,424,3.34,Loyal Customers,2024-07-07,2023-03-07,1754.83
15,C00015,Customer_15,user15@email.com,West,806,16,4989.89,3,2,4,324,3.01,Loyal Customers,2024-01-09,2023-03-08,1677.22
16,C00016,Customer_16,user16@email.com,South,543,10,1577.39,5,2,2,522,2.99,Potential Loyalist,2024-09-28,2023-05-15,2035.22
17,C00017,Customer_17,user17@email.com,West,1013,25,1430.36,2,4,2,242,2.66,Needs Attention,2023-06-16,2023-02-24,852.93
18,C00018,Customer_18,user18@email.com,Central,721,20,14241.58,4,3,5,435,4.01,Champions,2024-04-03,2023-01-31,2620.33
19,C00019,Customer_19,user19@email.com,North,900,31,1771.05,2,4,2,242,2.66,Needs Attention,2023-10-07,2023-03-15,1066.23
20,C00020,Customer_20,user20@email.com,West,480,4,7469.52,5,1,4,514,3.34,Potential Loyalist,2024-11-30,2023-01-19,2143.57
21,C00021,Customer_21,user21@email.com,South,878,23,2497.14,2,3,3,233,2.67,Needs Attention,2023-10-29,2023-06-05,245.15
22,C00022,Customer_22,user22@email.com,Central,649,2,749.78,4,1,1,411,1.99,Recent Users,2024-06-14,2023-03-22,1243.44
23,C00023,Customer_23,user23@email.com,West,600,22,53.87,4,3,1,431,2.65,Potential Loyalist,2024-08-02,2023-06-05,1184.79
24,C00024,Customer_24,user24@email.com,North,962,37,3929.13,2,5,3,253,3.33,Needs Attention,2023-08-06,2023-05-27,1721.76
25,C00025,Customer_25,user25@email.com,North,1078,8,18602.64,1,1,5,115,2.36,Hibernating,2023-04-12,2023-03-28,403.66
26,C00026,Customer_26,user26@email.com,East,626,7,2303.33,4,1,2,412,2.33,Potential Loyalist,2024-07-07,2023-01-20,2412.37
27,C00027,Customer_27,user27@email.com,East,892,14,2209.55,2,2,2,222,2.0,About To Sleep,2023-10-15,2023-01-13,809.79
28,C00028,Customer_28,user28@email.com,South,1013,3,2108.67,2,1,2,212,1.67,About To Sleep,2023-06-16,2023-03-18,2095.71
29,C00029,Customer_29,user29@email.com,West,559,16,3675.51,5,2,3,523,3.33,Potential Loyalist,2024-09-12,2023-02-12,2448.99
30,C00030,Customer_30,user30@email.com,West,1144,19,2905.03,1,3,3,133,2.34,Hibernating,2023-02-05,2023-05-19,1773.26
31,C00031,Customer_31,user31@email.com,East,827,18,10597.76,3,3,5,335,3.68,Loyal Customers,2023-12-19,2023-06-25,2274.47
32,C00032,Customer_32,user32@email.com,West,504,16,3521.25,5,2,3,523,3.33,Potential Loyalist,2024-11-06,2023-05-23,2053.21
33,C00033,Customer_33,user33@email.com,West,1107,8,3543.92,1,1,3,113,1.68,Hibernating,2023-03-14,2023-05-25,1195.48
34,C00034,Customer_34,user34@email.com,North,532,33,744.66,5,5,1,551,3.64,Loyal Customers,2024-10-09,2023-02-19,2464.8
35,C00035,Customer_35,user35@email.com,East,827,12,20296.68,3,2,5,325,3.35,Loyal Customers,2023-12-19,2023-01-28,1025.16
36,C00036,Customer_36,user36@email.com,Central,1110,11,1438.23,1,2,2,122,1.67,Hibernating,2023-03-11,2023-01-04,1799.4
37,C00037,Customer_37,user37@email.com,East,755,5,380.97,3,1,1,311,1.66,Promising,2024-02-29,2023-01-22,2287.11
38,C00038,Customer_38,user38@email.com,Central,472,27,5440.53,5,4,4,544,4.33,Champions,2024-12-08,2023-04-29,1261.08
39,C00039,Customer_39,user39@email.com,North,619,12,4523.87,4,2,4,424,3.34,Loyal Customers,2024-07-14,2023-04-11,1047.75
40,C00040,Customer_40,user40@email.com,South,538,17,2681.96,5,3,3,533,3.66,Loyal Customers,2024-10-03,2023-02-08,1486.17
41,C00041,Customer_41,user41@email.com,West,663,6,2742.57,4,1,3,413,2.67,Potential Loyalist,2024-05-31,2023-02-03,2490.3
42,C00042,Customer_42,user42@email.com,North,752,33,7687.07,3,5,4,354,4.0,Loyal Customers,2024-03-03,2023-04-07,2803.78
43,C00043,Customer_43,user43@email.com,West,641,5,1088.99,4,1,2,412,2.33,Potential Loyalist,2024-06-22,2023-02-13,1726.23
44,C00044,Customer_44,user44@email.com,South,1020,28,8581.03,2,4,5,245,3.68,Needs Attention,2023-06-09,2023-06-19,2052.11
45,C00045,Customer_45,user45@email.com,South,1031,14,5231.24,1,2,4,124,2.35,Hibernating,2023-05-29,2023-02-09,2729.17
46,C00046,Customer_46,user46@email.com,North,950,5,2714.76,2,1,3,213,2.01,About To Sleep,2023-08-18,2023-04-07,475.93
47,C00047,Customer_47,user47@email.com,South,468,33,3062.71,5,5,3,553,4.32,Champions,2024-12-12,2023-05-20,849.82
48,C00048,Customer_48,user48@email.com,Central,618,19,1482.92,4,3,2,432,2.99,Potential Loyalist,2024-07-15,2023-05-10,2184.92
49,C00049,Customer_49,user49@email.com,South,1113,22,6973.94,1,3,4,134,2.68,Can't Lose Them,2023-03-08,2023-06-05,2506.48
50,C00050,Customer_50,user50@email.com,West,799,5,3596.17,3,1,3,313,2.34,Potential Loyalist,2024-01-16,2023-03-15,2599.68
51,C00051,Customer_51,user51@email.com,West,1122,2,1934.6,1,1,2,112,1.34,Hibernating,2023-02-27,2023-03-27,1362.3
52,C00052,Customer_52,user52@email.com,West,921,30,4532.32,2,4,4,244,3.34,Needs Attention,2023-09-16,2023-03-31,450.15
53,C00053,Customer_53,user53@email.com,West,838,39,27285.92,3,5,5,355,4.34,Loyal Customers,2023-12-08,2023-03-08,1425.79
54,C00054,Customer_54,user54@email.com,Central,1050,4,2856.97,1,1,3,113,1.68,Hibernating,2023-05-10,2023-03-17,846.06
55,C00055,Customer_55,user55@email.com,East,453,33,12672.04,5,5,5,555,5.0,Champions,2024-12-27,2023-04-02,1015.35
56,C00056,Customer_56,user56@email.com,North,1008,13,2115.73,2,2,2,222,2.0,About To Sleep,2023-06-21,2023-01-10,2362.35
57,C00057,Customer_57,user57@email.com,West,566,20,281.44,5,3,1,531,2.98,Potential Loyalist,2024-09-05,2023-03-27,411.48
58,C00058,Customer_58,user58@email.com,South,971,7,1142.3,2,1,2,212,1.67,About To Sleep,2023-07-28,2023-04-12,2517.23
59,C00059,Customer_59,user59@email.com,West,826,15,2712.4,3,2,3,323,2.67,Potential Loyalist,2023-12-20,2023-04-18,1397.47
60,C00060,Customer_60,user60@email.com,South,709,23,1239.97,4,3,2,432,2.99,Potential Loyalist,2024-04-15,2023-06-14,1868.98
61,C00061,Customer_61,user61@email.com,South,1064,14,1.14,1,2,1,121,1.33,Hibernating,2023-04-26,2023-04-01,451.03
62,C00062,Customer_62,user62@email.com,West,916,23,12325.61,2,3,5,235,3.35,Needs Attention,2023-09-21,2023-03-20,1144.61
63,C00063,Customer_63,user63@email.com,Central,518,19,9285.63,5,3,5,535,4.34,Champions,2024-10-23,2023-03-27,451.16
64,C00064,Customer_64,user64@email.com,South,738,29,6779.65,3,4,4,344,3.67,Loyal Customers,2024-03-17,2023-04-17,2892.32
65,C00065,Customer_65,user65@email.com,South,632,20,918.5,4,3,1,431,2.65,Potential Loyalist,2024-07-01,2023-06-17,2460.33
66,C00066,Customer_66,user66@email.com,West,727,29,641.23,3,4,1,341,2.65,Potential Loyalist,2024-03-28,2023-04-11,1486.97
67,C00067,Customer_67,user67@email.com,South,703,24,349.99,4,4,1,441,2.98,Potential Loyalist,2024-04-21,2023-04-18,826.09
68,C00068,Customer_68,user68@email.com,South,893,18,6437.3,2,3,4,234,3.01,Needs Attention,2023-10-14,2023-03-01,2813.67
69,C00069,Customer_69,user69@email.com,West,877,10,13211.87,2,2,5,225,3.02,Needs Attention,2023-10-30,2023-02-17,1164.87
70,C00070,Customer_70,user70@email.com,West,869,8,2815.3,3,1,3,313,2.34,Potential Loyalist,2023-11-07,2023-04-27,650.76
71,C00071,Customer_71,user71@email.com,North,972,26,634.29,2,4,1,241,2.32,About To Sleep,2023-07-27,2023-04-16,1776.86
72,C00072,Customer_72,user72@email.com,Central,562,29,3591.23,5,4,3,543,3.99,Champions,2024-09-09,2023-05-27,2842.57
73,C00073,Customer_73,user73@email.com,Central,734,10,2144.94,3,2,2,322,2.33,Potential Loyalist,2024-03-21,2023-02-02,210.72
74,C00074,Customer_74,user74@email.com,South,510,17,2348.62,5,3,2,532,3.32,Potential Loyalist,2024-10-31,2023-02-13,866.75
75,C00075,Customer_75,user75@email.com,Central,547,2,4855.46,5,1,4,514,3.34,Potential Loyalist,2024-09-24,2023-06-14,2827.65
76,C00076,Customer_76,user76@email.com,South,1125,6,6341.99,1,1,4,114,2.02,Hibernating,2023-02-24,2023-04-22,679.04
77,C00077,Customer_77,user77@email.com,North,1168,5,586.06,1,1,1,111,1.0,Lost,2023-01-12,2023-03-30,517.08
78,C00078,Customer_78,user78@email.com,West,523,28,181.2,5,4,1,541,3.31,Potential Loyalist,2024-10-18,2023-02-05,1796.52
79,C00079,Customer_79,user79@email.com,West,780,5,25863.1,3,1,5,315,3.02,Loyal Customers,2024-02-04,2023-03-22,2613.16
80,C00080,Customer_80,user80@email.com,West,532,18,1324.57,5,3,2,532,3.32,Potential Loyalist,2024-10-09,2023-03-29,1535.91
81,C00081,Customer_81,user81@email.com,Central,665,26,276.67,4,4,1,441,2.98,Potential Loyalist,2024-05-29,2023-05-29,2984.78
82,C00082,Customer_82,user82@email.com,North,524,20,1052.84,5,3,1,531,2.98,Potential Loyalist,2024-10-17,2023-05-10,2101.68
83,C00083,Customer_83,user83@email.com,Central,638,27,198.69,4,4,1,441,2.98,Potential Loyalist,2024-06-25,2023-01-31,407.41
84,C00084,Customer_84,user84@email.com,Central,943,12,2486.35,2,2,3,223,2.34,About To Sleep,2023-08-25,2023-04-18,2979.93
85,C00085,Customer_85,user85@email.com,North,901,7,8107.6,2,1,5,215,2.69,Needs Attention,2023-10-06,2023-01-30,1342.1
86,C00086,Customer_86,user86@email.com,North,832,3,2087.01,3,1,2,312,2.0,Potential Loyalist,2023-12-14,2023-06-21,1004.73
87,C00087,Customer_87,user87@email.com,North,553,10,2936.58,5,2,3,523,3.33,Potential Loyalist,2024-09-18,2023-01-12,1762.06
88,C00088,Customer_88,user88@email.com,North,1076,34,5628.69,1,5,4,154,3.34,Can't Lose Them,2023-04-14,2023-02-20,1052.06
89,C00089,Customer_89,user89@email.com,West,550,25,3555.48,5,4,3,543,3.99,Champions,2024-09-21,2023-05-01,442.08
90,C00090,Customer_90,user90@email.com,East,663,35,9882.46,4,5,5,455,4.67,Champions,2024-05-31,2023-06-26,204.0
91,C00091,Customer_91,user91@email.com,East,932,16,10050.91,2,2,5,225,3.02,Needs Attention,2023-09-05,2023-06-01,1458.83
92,C00092,Customer_92,user92@email.com,North,816,2,49.8,3,1,1,311,1.66,Promising,2023-12-30,2023-06-01,2543.22
93,C00093,Customer_93,user93@email.com,East,859,24,7526.43,3,4,4,344,3.67,Loyal Customers,2023-11-17,2023-05-19,1802.48
94,C00094,Customer_94,user94@email.com,East,547,10,3087.73,5,2,3,523,3.33,Potential Loyalist,2024-09-24,2023-01-13,2997.78
95,C00095,Customer_95,user95@email.com,North,894,38,22477.34,2,5,5,255,4.01,Can't Lose Them,2023-10-13,2023-04-01,1003.17
96,C00096,Customer_96,user96@email.com,East,1031,22,3300.81,1,3,3,133,2.34,Hibernating,2023-05-29,2023-03-15,985.27
97,C00097,Customer_97,user97@email.com,Central,1096,26,21674.17,1,4,5,145,3.35,Can't Lose Them,2023-03-25,2023-01-20,647.3
98,C00098,Customer_98,user98@email.com,South,774,39,7023.7,3,5,4,354,4.0,Loyal Customers,2024-02-10,2023-03-13,659.38
99,C00099,Customer_99,user99@email.com,South,724,27,1429.12,3,4,2,342,2.99,Loyal Customers,2024-03-31,2023-03-14,998.52
100,C00100,Customer_100,user100@email.com,North,1019,29,3865.23,2,4,3,243,3.0,Needs Attention,2023-06-10,2023-03-12,2419.95
101,C00101,Customer_101,user101@email.com,West,720,38,24227.07,4,5,5,455,4.67,Champions,2024-04-04,2023-03-19,2736.12
102,C00102,Customer_102,user102@email.com,North,630,20,9743.14,4,3,5,435,4.01,Champions,2024-07-03,2023-01-28,2930.24
103,C00103,Customer_103,user103@email.com,West,680,27,512.2,4,4,1,441,2.98,Potential Loyalist,2024-05-14,2023-05-10,850.41
104,C00104,Customer_104,user104@email.com,South,671,20,6127.21,4,3,4,434,3.67,Champions,2024-05-23,2023-05-01,2667.63
105,C00105,Customer_105,user105@email.com,North,526,19,2120.03,5,3,2,532,3.32,Potential Loyalist,2024-10-15,2023-02-12,1119.11
106,C00106,Customer_106,user106@email.com,Central,699,20,35.03,4,3,1,431,2.65,Potential Loyalist,2024-04-25,2023-01-08,515.95
107,C00107,Customer_107,user107@email.com,East,517,35,2583.22,5,5,3,553,4.32,Champions,2024-10-24,2023-01-13,2636.07
108,C00108,Customer_108,user108@email.com,West,1066,2,1337.79,1,1,2,112,1.34,Hibernating,2023-04-24,2023-04-21,1981.1
109,C00109,Customer_109,user109@email.com,East,602,30,8542.68,4,4,5,445,4.34,Champions,2024-07-31,2023-02-04,661.25
110,C00110,Customer_110,user110@email.com,East,819,34,2057.4,3,5,2,352,3.32,Loyal Customers,2023-12-27,2023-01-23,1403.53
111,C00111,Customer_111,user111@email.com,North,839,22,8787.48,3,3,5,335,3.68,Loyal Customers,2023-12-07,2023-02-15,1004.32
112,C00112,Customer_112,user112@email.com,East,731,3,2.99,3,1,1,311,1.66,Promising,2024-03-24,2023-01-15,2263.02
113,C00113,Customer_113,user113@email.com,Central,1000,6,1839.54,2,1,2,212,1.67,About To Sleep,2023-06-29,2023-05-10,1469.57
114,C00114,Customer_114,user114@email.com,East,478,15,1379.86,5,2,2,522,2.99,Potential Loyalist,2024-12-02,2023-03-02,2969.98
115,C00115,Customer_115,user115@email.com,North,773,27,1330.04,3,4,2,342,2.99,Loyal Customers,2024-02-11,2023-04-25,353.29
116,C00116,Customer_116,user116@email.com,Central,514,10,353.11,5,2,1,521,2.65,Potential Loyalist,2024-10-27,2023-03-05,1194.04
117,C00117,Customer_117,user117@email.com,South,984,9,1035.89,2,1,1,211,1.33,About To Sleep,2023-07-15,2023-02-21,1549.32
118,C00118,Customer_118,user118@email.com,East,714,33,4054.58,4,5,3,453,3.99,Champions,2024-04-10,2023-06-13,1608.77
119,C00119,Customer_119,user119@email.com,North,869,32,1722.05,3,5,2,352,3.32,Loyal Customers,2023-11-07,2023-03-10,1084.62
120,C00120,Customer_120,user120@email.com,South,918,6,2701.23,2,1,3,213,2.01,About To Sleep,2023-09-19,2023-03-08,2241.87
121,C00121,Customer_121,user121@email.com,South,761,36,2364.98,3,5,2,352,3.32,Loyal Customers,2024-02-23,2023-06-24,2649.29
122,C00122,Customer_122,user122@email.com,West,774,2,10433.54,3,1,5,315,3.02,Loyal Customers,2024-02-10,2023-03-24,2828.41
123,C00123,Customer_123,user123@email.com,Central,1037,29,11785.15,1,4,5,145,3.35,Can't Lose Them,2023-05-23,2023-01-02,2454.26
124,C00124,Customer_124,user124@email.com,East,838,4,3395.8,3,1,3,313,2.34,Potential Loyalist,2023-12-08,2023-06-21,2581.62
125,C00125,Customer_125,user125@email.com,North,864,1,2003.55,3,1,2,312,2.0,Potential Loyalist,2023-11-12,2023-03-19,1741.53
126,C00126,Customer_126,user126@email.com,West,1079,19,564.73,1,3,1,131,1.66,Hibernating,2023-04-11,2023-01-28,2512.49
127,C00127,Customer_127,user127@email.com,Central,936,26,15331.08,2,4,5,245,3.68,Needs Attention,2023-09-01,2023-02-23,1049.81
128,C00128,Customer_128,user128@email.com,West,690,25,310.58,4,4,1,441,2.98,Potential Loyalist,2024-05-04,2023-03-08,1315.74
129,C00129,Customer_129,user129@email.com,Central,1168,10,1766.62,1,2,2,122,1.67,Hibernating,2023-01-12,2023-06-13,1087.36
130,C00130,Customer_130,user130@email.com,Central,941,15,1769.58,2,2,2,222,2.0,About To Sleep,2023-08-27,2023-04-12,1508.68
131,C00131,Customer_131,user131@email.com,East,619,22,1931.26,4,3,2,432,2.99,Potential Loyalist,2024-07-14,2023-04-30,999.62
132,C00132,Customer_132,user132@email.com,Central,1138,21,897.35,1,3,1,131,1.66,Hibernating,2023-02-11,2023-06-02,2892.51
133,C00133,Customer_133,user133@email.com,West,502,22,7643.01,5,3,4,534,4.0,Champions,2024-11-08,2023-02-17,1075.96
134,C00134,Customer_134,user134@email.com,Central,586,36,653.38,4,5,1,451,3.31,Loyal Customers,2024-08-16,2023-06-16,474.52
135,C00135,Customer_135,user135@email.com,East,751,34,5038.01,3,5,4,354,4.0,Loyal Customers,2024-03-04,2023-02-16,1675.09
136,C00136,Customer_136,user136@email.com,East,1022,30,661.07,1,4,1,141,1.99,Hibernating,2023-06-07,2023-01-21,359.88
137,C00137,Customer_137,user137@email.com,West,964,25,365.73,2,4,1,241,2.32,About To Sleep,2023-08-04,2023-06-07,509.52
138,C00138,Customer_138,user138@email.com,South,510,28,12008.13,5,4,5,545,4.67,Champions,2024-10-31,2023-04-02,814.29
139,C00139,Customer_139,user139@email.com,South,718,1,1054.4,4,1,1,411,1.99,Recent Users,2024-04-06,2023-06-08,1500.18
140,C00140,Customer_140,user140@email.com,Central,1046,4,8608.84,1,1,5,115,2.36,Hibernating,2023-05-14,2023-05-01,1413.1
141,C00141,Customer_141,user141@email.com,North,1113,7,3933.23,1,1,3,113,1.68,Hibernating,2023-03-08,2023-04-26,2439.14
142,C00142,Customer_142,user142@email.com,Central,1173,9,405.27,1,1,1,111,1.0,Lost,2023-01-07,2023-06-03,2270.53
143,C00143,Customer_143,user143@email.com,West,654,36,15555.51,4,5,5,455,4.67,Champions,2024-06-09,2023-05-30,1393.69
144,C00144,Customer_144,user144@email.com,West,1107,19,1418.19,1,3,2,132,2.0,Hibernating,2023-03-14,2023-05-29,1134.37
145,C00145,Customer_145,user145@email.com,West,781,1,9817.91,3,1,5,315,3.02,Loyal Customers,2024-02-03,2023-01-01,1086.11
146,C00146,Customer_146,user146@email.com,West,775,10,924.48,3,2,1,321,1.99,Potential Loyalist,2024-02-09,2023-06-14,2367.19
147,C00147,Customer_147,user147@email.com,West,505,36,9618.79,5,5,5,555,5.0,Champions,2024-11-05,2023-03-18,345.8
148,C00148,Customer_148,user148@email.com,East,602,9,66.59,4,1,1,411,1.99,Recent Users,2024-07-31,2023-03-26,235.9
149,C00149,Customer_149,user149@email.com,South,1050,32,3584.95,1,5,3,153,3.0,Can't Lose Them,2023-05-10,2023-02-15,2427.52
150,C00150,Customer_150,user150@email.com,West,714,32,7336.28,4,5,4,454,4.33,Champions,2024-04-10,2023-05-17,1536.01
151,C00151,Customer_151,user151@email.com,North,974,6,13651.14,2,1,5,215,2.69,Needs Attention,2023-07-25,2023-05-25,566.47
152,C00152,Customer_152,user152@email.com,North,914,38,11995.6,2,5,5,255,4.01,Can't Lose Them,2023-09-23,2023-02-16,859.58
153,C00153,Customer_153,user153@email.com,North,643,17,8563.58,4,3,5,435,4.01,Champions,2024-06-20,2023-02-28,2811.01
154,C00154,Customer_154,user154@email.com,North,927,10,10954.83,2,2,5,225,3.02,Needs Attention,2023-09-10,2023-02-23,2606.61
155,C00155,Customer_155,user155@email.com,East,891,27,1110.84,2,4,2,242,2.66,Needs Attention,2023-10-16,2023-03-27,2187.4
156,C00156,Customer_156,user156@email.com,North,1016,35,1671.66,2,5,2,252,2.99,Needs Attention,2023-06-13,2023-01-12,1550.23
157,C00157,Customer_157,user157@email.com,West,1085,21,1705.19,1,3,2,132,2.0,Hibernating,2023-04-05,2023-01-06,1656.91
158,C00158,Customer_158,user158@email.com,Central,1070,25,2366.48,1,4,2,142,2.33,Hibernating,2023-04-20,2023-02-22,2930.68
159,C00159,Customer_159,user159@email.com,North,844,28,2498.77,3,4,3,343,3.33,Loyal Customers,2023-12-02,2023-05-24,2904.16
160,C00160,Customer_160,user160@email.com,East,942,15,3932.41,2,2,3,223,2.34,About To Sleep,2023-08-26,2023-03-31,802.75
161,C00161,Customer_161,user161@email.com,East,799,4,871.05,3,1,1,311,1.66,Promising,2024-01-16,2023-01-05,2471.09
162,C00162,Customer_162,user162@email.com,North,744,29,5876.06,3,4,4,344,3.67,Loyal Customers,2024-03-11,2023-03-14,752.28
163,C00163,Customer_163,user163@email.com,Central,697,9,917.01,4,1,1,411,1.99,Recent Users,2024-04-27,2023-06-23,797.9
164,C00164,Customer_164,user164@email.com,North,1155,27,1857.55,1,4,2,142,2.33,Hibernating,2023-01-25,2023-01-14,2093.06
165,C00165,Customer_165,user165@email.com,East,527,26,3499.3,5,4,3,543,3.99,Champions,2024-10-14,2023-06-21,1334.0
166,C00166,Customer_166,user166@email.com,South,1063,19,7958.99,1,3,4,134,2.68,Can't Lose Them,2023-04-27,2023-04-16,2808.32
167,C00167,Customer_167,user167@email.com,West,698,28,6725.17,4,4,4,444,4.0,Champions,2024-04-26,2023-02-21,449.23
168,C00168,Customer_168,user168@email.com,East,788,17,5185.72,3,3,4,334,3.34,Loyal Customers,2024-01-27,2023-04-26,1632.27
169,C00169,Customer_169,user169@email.com,North,643,20,846.67,4,3,1,431,2.65,Potential Loyalist,2024-06-20,2023-01-26,2771.86
170,C00170,Customer_170,user170@email.com,West,1101,39,3959.82,1,5,3,153,3.0,Can't Lose Them,2023-03-20,2023-02-22,2731.52
171,C00171,Customer_171,user171@email.com,North,600,23,457.54,4,3,1,431,2.65,Potential Loyalist,2024-08-02,2023-04-19,638.28
172,C00172,Customer_172,user172@email.com,North,1007,32,2368.96,2,5,2,252,2.99,Needs Attention,2023-06-22,2023-01-29,1226.59
173,C00173,Customer_173,user173@email.com,South,1168,33,2668.05,1,5,3,153,3.0,Can't Lose Them,2023-01-12,2023-01-19,1933.54
174,C00174,Customer_174,user174@email.com,West,1052,5,203.13,1,1,1,111,1.0,Lost,2023-05-08,2023-02-16,646.31
175,C00175,Customer_175,user175@email.com,West,572,34,1600.94,5,5,2,552,3.98,Champions,2024-08-30,2023-05-16,2910.46
176,C00176,Customer_176,user176@email.com,South,1088,11,15578.15,1,2,5,125,2.69,Can't Lose Them,2023-04-02,2023-01-23,2761.3
177,C00177,Customer_177,user177@email.com,East,527,3,15355.79,5,1,5,515,3.68,Loyal Customers,2024-10-14,2023-04-27,667.46
178,C00178,Customer_178,user178@email.com,North,637,33,2171.85,4,5,2,452,3.65,Champions,2024-06-26,2023-04-16,539.24
179,C00179,Customer_179,user179@email.com,Central,648,11,220.28,4,2,1,421,2.32,Potential Loyalist,2024-06-15,2023-06-12,439.14
180,C00180,Customer_180,user180@email.com,North,522,16,986.74,5,2,1,521,2.65,Potential Loyalist,2024-10-19,2023-02-22,2746.44
181,C00181,Customer_181,user181@email.com,North,733,18,2489.69,3,3,3,333,3.0,Loyal Customers,2024-03-22,2023-04-06,742.15
182,C00182,Customer_182,user182@email.com,East,790,30,14761.42,3,4,5,345,4.01,Loyal Customers,2024-01-25,2023-01-05,1365.6
183,C00183,Customer_183,user183@email.com,North,508,10,761.09,5,2,1,521,2.65,Potential Loyalist,2024-11-02,2023-01-16,1456.78
184,C00184,Customer_184,user184@email.com,South,1137,18,7209.37,1,3,4,134,2.68,Can't Lose Them,2023-02-12,2023-01-17,1877.23
185,C00185,Customer_185,user185@email.com,South,926,38,575.27,2,5,1,251,2.65,Needs Attention,2023-09-11,2023-06-09,400.86
186,C00186,Customer_186,user186@email.com,West,1050,19,19884.83,1,3,5,135,3.02,Can't Lose Them,2023-05-10,2023-04-12,834.92
187,C00187,Customer_187,user187@email.com,Central,1120,36,2403.23,1,5,2,152,2.66,Can't Lose Them,2023-03-01,2023-06-29,2808.17
188,C00188,Customer_188,user188@email.com,North,517,13,7463.49,5,2,4,524,3.67,Loyal Customers,2024-10-24,2023-01-20,2743.55
189,C00189,Customer_189,user189@email.com,North,713,3,2097.25,4,1,2,412,2.33,Potential Loyalist,2024-04-11,2023-04-22,2387.61
190,C00190,Customer_190,user190@email.com,East,893,10,4939.86,2,2,4,224,2.68,Needs Attention,2023-10-14,2023-04-30,254.32
191,C00191,Customer_191,user191@email.com,South,663,38,1066.07,4,5,1,451,3.31,Loyal Customers,2024-05-31,2023-04-21,1115.62
192,C00192,Customer_192,user192@email.com,Central,713,1,789.24,4,1,1,411,1.99,Recent Users,2024-04-11,2023-01-01,1958.28
193,C00193,Customer_193,user193@email.com,West,835,27,13908.28,3,4,5,345,4.01,Loyal Customers,2023-12-11,2023-02-27,970.53
194,C00194,Customer_194,user194@email.com,South,538,8,12483.72,5,1,5,515,3.68,Loyal Customers,2024-10-03,2023-04-03,2746.84
195,C00195,Customer_195,user195@email.com,West,798,17,10922.63,3,3,5,335,3.68,Loyal Customers,2024-01-17,2023-06-21,1974.89
196,C00196,Customer_196,user196@email.com,East,490,9,4909.93,5,1,4,514,3.34,Potential Loyalist,2024-11-20,2023-01-06,401.34
197,C00197,Customer_197,user197@email.com,East,927,6,8258.29,2,1,5,215,2.69,Needs Attention,2023-09-10,2023-04-18,2745.22
198,C00198,Customer_198,user198@email.com,North,1124,25,357.68,1,4,1,141,1.99,Hibernating,2023-02-25,2023-04-13,2881.75
199,C00199,Customer_199,user199@email.com,Central,717,39,2038.26,4,5,2,452,3.65,Champions,2024-04-07,2023-02-19,417.59
200,C00200,Customer_200,user200@email.com,West,723,28,1882.22,4,4,2,442,3.32,Loyal Customers,2024-04-01,2023-04-28,1690.61
201,C00201,Customer_201,user201@email.com,South,1097,33,5048.14,1,5,4,154,3.34,Can't Lose Them,2023-03-24,2023-04-20,1049.42
202,C00202,Customer_202,user202@email.com,East,1081,37,2199.95,1,5,2,152,2.66,Can't Lose Them,2023-04-09,2023-03-29,1299.95
203,C00203,Customer_203,user203@email.com,North,1031,9,803.82,1,1,1,111,1.0,Lost,2023-05-29,2023-01-20,703.02
